"","ID","Item"
"409",16,"Outlier detection (e.g. Fraud detection)"
"410",16,"Recommendation Engines"
"411",16,"Supervised Machine Learning (Tabular Data)"
"412",16,"Time Series"
"413",16,"Unsupervised Learning"
"414",16,"Bayesian Techniques"
"415",16,"Decision Trees - Gradient Boosted Machines"
"416",16,"Decision Trees - Random Forests"
"417",16,"Gradient Boosting"
"418",16,"Logistic Regression"
"419",16,"Bayesian Techniques"
"420",16,"Decision Trees"
"421",16,"Random Forests"
"422",16,"Amazon Machine Learning"
"423",16,"C/C++"
"424",16,"NoSQL"
"425",16,"R"
"426",16,"A/B Testing"
"427",17,"Engineer"
"428",17,"Python"
"429",17,"Kaggle"
"430",17,"Textbook"
"431",17,"Trade book"
"432",17,"Natural Language Processing"
"433",17,"Recommendation Engines"
"434",17,"Supervised Machine Learning (Tabular Data)"
"435",17,"Bayesian Techniques"
"436",17,"Decision Trees - Gradient Boosted Machines"
"437",17,"Decision Trees - Random Forests"
"438",17,"Logistic Regression"
"439",17,"Markov Logic Networks"
"440",17,"Neural Networks - CNNs"
"441",17,"Neural Networks - RNNs"
"442",17,"Support Vector Machines (SVMs)"
"443",17,"Decision Trees"
"444",17,"Neural Networks"
"445",17,"Regression/Logistic Regression"
"446",17,"Amazon Web services"
"447",17,"C/C++"
"448",17,"Hadoop/Hive/Pig"
"449",17,"Java"
"450",17,"Jupyter notebooks"
"451",17,"NoSQL"
"452",17,"Python"
"453",17,"R"
"454",17,"SQL"
"455",17,"TensorFlow"
"456",17,"Bayesian Techniques"
"457",17,"Cross-Validation"
"458",17,"Decision Trees"
"459",17,"kNN and Other Clustering"
"460",17,"Logistic Regression"
"461",17,"Natural Language Processing"
"462",17,"Neural Networks"
"463",17,"Random Forests"
"464",17,"SVMs"
"465",18,"Python"
"466",18,"Blogs"
"467",18,"Newsletters"
"468",18,"Online courses"
"469",18,"Coursera"
"470",18,"Udacity"
"471",18,"Adversarial Learning"
"472",18,"Supervised Machine Learning (Tabular Data)"
"473",18,"Bayesian Techniques"
"474",18,"Ensemble Methods"
"475",18,"Logistic Regression"
"476",18,"Neural Networks - CNNs"
"477",18,"Neural Networks - GANs"
"478",18,"Neural Networks - RNNs"
"479",18,"Support Vector Machines (SVMs)"
"480",20,"Predictive Modeler"
"481",20,"R"
"482",20,"Blogs"
"483",20,"Supervised Machine Learning (Tabular Data)"
"484",20,"Survival Analysis"
"485",20,"Unsupervised Learning"
"486",20,"Decision Trees - Gradient Boosted Machines"
"487",20,"Decision Trees - Random Forests"
"488",20,"Ensemble Methods"
"489",20,"Gradient Boosting"
"490",20,"Logistic Regression"
"491",20,"Decision Trees"
"492",20,"Ensemble Methods"
"493",20,"Gradient Boosted Machines"
"494",20,"Random Forests"
"495",20,"Regression/Logistic Regression"
"496",20,"Microsoft Excel Data Mining"
"497",20,"R"
"498",20,"Cross-Validation"
"499",20,"Data Visualization"
"500",20,"Decision Trees"
"501",20,"Ensemble Methods"
"502",20,"Gradient Boosted Machines"
"503",20,"kNN and Other Clustering"
"504",20,"Lift Analysis"
"505",20,"Logistic Regression"
"506",20,"Random Forests"
"507",20,"Simulation"
"508",20,"Text Analytics"
"509",21,"Python"
"510",21,"Kaggle"
"511",21,"Online courses"
"512",21,"Tutoring/mentoring"
"513",21,"YouTube Videos"
"514",21,"Coursera"
"515",21,"Supervised Machine Learning (Tabular Data)"
"516",21,"Unsupervised Learning"
"517",21,"Logistic Regression"
"518",21,"Neural Networks - CNNs"
"519",21,"Support Vector Machines (SVMs)"
"520",22,"Data Scientist"
"521",22,"Python"
"522",22,"Arxiv"
"523",22,"Kaggle"
"524",22,"Official documentation"
"525",22,"Online courses"
"526",22,"Personal Projects"
"527",22,"Podcasts"
"528",22,"Stack Overflow Q&A"
"529",22,"Textbook"
"530",22,"YouTube Videos"
"531",22,"Supervised Machine Learning (Tabular Data)"
"532",22,"Time Series"
"533",22,"Decision Trees - Gradient Boosted Machines"
"534",22,"Logistic Regression"
"535",22,"Decision Trees"
"536",22,"Regression/Logistic Regression"
"537",22,"Amazon Web services"
"538",22,"Julia"
"539",22,"Jupyter notebooks"
"540",22,"KNIME (free version)"
"541",22,"MATLAB/Octave"
"542",22,"Microsoft Azure Machine Learning"
"543",22,"Microsoft Excel Data Mining"
"544",22,"Microsoft R Server (Formerly Revolution Analytics)"
"545",22,"Microsoft SQL Server Data Mining"
"546",22,"Python"
"547",22,"QlikView"
"548",22,"R"
"549",22,"RapidMiner (free version)"
"550",22,"SQL"
"551",22,"A/B Testing"
"552",22,"Data Visualization"
"553",22,"Decision Trees"
"554",22,"Logistic Regression"
"555",22,"Prescriptive Modeling"
"556",22,"Time Series Analysis"
"557",23,"Engineer"
"558",23,"Python"
"559",23,"Blogs"
"560",23,"College/University"
"561",23,"Kaggle"
"562",23,"Online courses"
"563",23,"Textbook"
"564",23,"Outlier detection (e.g. Fraud detection)"
"565",23,"Supervised Machine Learning (Tabular Data)"
"566",23,"Time Series"
"567",23,"Bayesian Techniques"
"568",23,"Decision Trees - Gradient Boosted Machines"
"569",23,"Logistic Regression"
"570",23,"Bayesian Techniques"
"571",23,"Decision Trees"
"572",23,"Regression/Logistic Regression"
"573",23,"C/C++"
"574",23,"Jupyter notebooks"
"575",23,"Perl"
"576",23,"Python"
"577",23,"A/B Testing"
"578",23,"Bayesian Techniques"
"579",23,"Data Visualization"
"580",23,"Decision Trees"
"581",23,"kNN and Other Clustering"
"582",23,"Logistic Regression"
"583",23,"Simulation"
"584",23,"Time Series Analysis"
"585",24,"Python"
"586",24,"Other"
"587",24,"Other (please specify; separate by semi-colon)"
"588",24,"Other (please specify; separate by semi-colon)"
"589",26,"Business Analyst"
"590",26,"R"
"591",26,"Kaggle"
"592",26,"Time Series"
"593",26,"Bayesian Techniques"
"594",26,"Logistic Regression"
"595",26,"Bayesian Techniques"
"596",26,"R"
"597",26,"SAS Base"
"598",26,"SQL"
"599",26,"A/B Testing"
"600",26,"CNNs"
"601",26,"Naive Bayes"
"602",26,"Prescriptive Modeling"
"603",26,"Random Forests"
"604",27,"Other"
"605",27,"Python"
"606",27,"Personal Projects"
"607",27,"Adversarial Learning"
"608",27,"Computer Vision"
"609",27,"Machine Translation"
"610",27,"Natural Language Processing"
"611",27,"Outlier detection (e.g. Fraud detection)"
"612",27,"Recommendation Engines"
"613",27,"Reinforcement learning"
"614",27,"Speech Recognition"
"615",27,"Supervised Machine Learning (Tabular Data)"
"616",27,"Survival Analysis"
"617",27,"Time Series"
"618",27,"Unsupervised Learning"
"619",27,"Decision Trees - Gradient Boosted Machines"
"620",27,"Decision Trees - Random Forests"
"621",27,"Ensemble Methods"
"622",27,"Evolutionary Approaches"
"623",27,"Gradient Boosting"
"624",27,"Neural Networks - CNNs"
"625",27,"Neural Networks - GANs"
"626",27,"Neural Networks - RNNs"
"627",27,"Support Vector Machines (SVMs)"
"628",27,"Other"
"629",27,"Amazon Machine Learning"
"630",27,"Amazon Web services"
"631",27,"C/C++"
"632",27,"Google Cloud Compute"
"633",27,"Hadoop/Hive/Pig"
"634",27,"Jupyter notebooks"
"635",27,"NoSQL"
"636",27,"Python"
"637",27,"TensorFlow"
"638",27,"A/B Testing"
"639",27,"Decision Trees"
"640",27,"Ensemble Methods"
"641",27,"GANs"
"642",27,"Gradient Boosted Machines"
"643",27,"Neural Networks"
"644",27,"Random Forests"
"645",27,"Simulation"
"646",27,"Time Series Analysis"
"647",28,"Business Analyst"
"648",28,"R"
"649",28,"Textbook"
"650",28,"YouTube Videos"
"651",28,"Supervised Machine Learning (Tabular Data)"
"652",28,"Bayesian Techniques"
"653",29,"Engineer"
"654",29,"Python"
"655",29,"Blogs"
"656",29,"Friends network"
"657",29,"Kaggle"
"658",29,"Personal Projects"
"659",29,"Stack Overflow Q&A"
"660",29,"Tutoring/mentoring"
"661",29,"Outlier detection (e.g. Fraud detection)"
"662",29,"Supervised Machine Learning (Tabular Data)"
"663",29,"Bayesian Techniques"
"664",29,"Logistic Regression"
"665",30,"Scientist/Researcher"
"666",30,"Python"
"667",30,"College/University"
"668",30,"Survival Analysis"
"669",30,"Time Series"
"670",30,"Markov Logic Networks"
"671",31,"Data Scientist"
"672",31,"Python"
"673",31,"Blogs"
"674",31,"Friends network"
"675",31,"Kaggle"
"676",31,"Online courses"
"677",31,"Personal Projects"
"678",31,"Podcasts"
"679",31,"Stack Overflow Q&A"
"680",31,"Textbook"
"681",31,"Tutoring/mentoring"
"682",31,"YouTube Videos"
"683",31,"Other"
"684",31,"Computer Vision"
"685",31,"Natural Language Processing"
"686",31,"Outlier detection (e.g. Fraud detection)"
"687",31,"Recommendation Engines"
"688",31,"Reinforcement learning"
"689",31,"Speech Recognition"
"690",31,"Supervised Machine Learning (Tabular Data)"
"691",31,"Survival Analysis"
"692",31,"Time Series"
"693",31,"Unsupervised Learning"
"694",31,"Bayesian Techniques"
"695",31,"Decision Trees - Gradient Boosted Machines"
"696",31,"Decision Trees - Random Forests"
"697",31,"Ensemble Methods"
"698",31,"Gradient Boosting"
"699",31,"Logistic Regression"
"700",31,"Markov Logic Networks"
"701",31,"Neural Networks - CNNs"
"702",31,"Neural Networks - RNNs"
"703",31,"Support Vector Machines (SVMs)"
"704",31,"Decision Trees"
"705",31,"Gradient Boosted Machines"
"706",31,"Random Forests"
"707",31,"Regression/Logistic Regression"
"708",31,"Amazon Web services"
"709",31,"Jupyter notebooks"
"710",31,"Microsoft Excel Data Mining"
"711",31,"NoSQL"
"712",31,"Python"
"713",31,"SQL"
"714",31,"Cross-Validation"
"715",31,"Data Visualization"
"716",31,"Decision Trees"
"717",31,"Gradient Boosted Machines"
"718",31,"kNN and Other Clustering"
"719",31,"Logistic Regression"
"720",31,"Naive Bayes"
"721",31,"Natural Language Processing"
"722",31,"Neural Networks"
"723",31,"Prescriptive Modeling"
"724",31,"Random Forests"
"725",31,"Text Analytics"
"726",31,"Time Series Analysis"
"727",32,"Python"
"728",32,"Online courses"
"729",32,"Stack Overflow Q&A"
"730",32,"Coursera"
"731",33,"Matlab"
"732",33,"College/University"
"733",33,"Conferences"
"734",33,"Online courses"
"735",33,"Personal Projects"
"736",33,"Coursera"
"737",33,"Computer Vision"
"738",33,"Reinforcement learning"
"739",33,"Supervised Machine Learning (Tabular Data)"
"740",33,"Bayesian Techniques"
"741",33,"Hidden Markov Models HMMs"
"742",33,"Logistic Regression"
"743",33,"Markov Logic Networks"
"744",33,"Neural Networks - CNNs"
"745",33,"Other (please specify; separate by semi-colon)"
"746",34,"R"
"747",34,"Kaggle"
"748",34,"Natural Language Processing"
"749",34,"Outlier detection (e.g. Fraud detection)"
"750",34,"Supervised Machine Learning (Tabular Data)"
"751",34,"Survival Analysis"
"752",34,"Time Series"
"753",34,"Unsupervised Learning"
"754",34,"Bayesian Techniques"
"755",34,"Decision Trees - Gradient Boosted Machines"
"756",34,"Decision Trees - Random Forests"
"757",34,"Gradient Boosting"
"758",34,"Hidden Markov Models HMMs"
"759",34,"Logistic Regression"
"760",34,"Neural Networks - CNNs"
"761",34,"Neural Networks - GANs"
"762",34,"Neural Networks - RNNs"
"763",34,"Support Vector Machines (SVMs)"
"764",35,"DBA/Database Engineer"
"765",35,"Other"
"766",35,"Friends network"
"767",35,"Textbook"
"768",35,"Machine Translation"
"769",35,"NoSQL"
"770",35,"Perl"
"771",35,"SQL"
"772",35,"Unix shell / awk"
"773",35,"Other"
"774",35,"Other"
"775",36,"Python"
"776",36,"Blogs"
"777",36,"Kaggle"
"778",36,"Personal Projects"
"779",36,"Stack Overflow Q&A"
"780",36,"Computer Vision"
"781",36,"Natural Language Processing"
"782",36,"Supervised Machine Learning (Tabular Data)"
"783",36,"Bayesian Techniques"
"784",36,"Decision Trees - Gradient Boosted Machines"
"785",36,"Gradient Boosting"
"786",36,"Logistic Regression"
"787",36,"Neural Networks - CNNs"
"788",36,"Support Vector Machines (SVMs)"
"789",37,"Programmer"
"790",37,"Python"
"791",37,"Kaggle"
"792",37,"Official documentation"
"793",37,"Online courses"
"794",37,"Personal Projects"
"795",37,"Stack Overflow Q&A"
"796",37,"Supervised Machine Learning (Tabular Data)"
"797",37,"Bayesian Techniques"
"798",37,"Decision Trees - Gradient Boosted Machines"
"799",37,"Decision Trees - Random Forests"
"800",37,"Other"
"801",37,"Cloudera"
"802",37,"KNIME (free version)"
"803",37,"Python"
"804",37,"R"
"805",37,"Spark / MLlib"
"806",37,"Tableau"
"807",37,"Bayesian Techniques"
"808",37,"Data Visualization"
"809",37,"Decision Trees"
"810",37,"Naive Bayes"
"811",37,"Segmentation"
"812",37,"Simulation"
"813",37,"Text Analytics"
"814",38,"Stata"
"815",38,"Kaggle"
"816",38,"Online courses"
"817",38,"Stack Overflow Q&A"
"818",38,"Coursera"
"819",38,"Supervised Machine Learning (Tabular Data)"
"820",38,"Time Series"
"821",38,"Unsupervised Learning"
"822",38,"Bayesian Techniques"
"823",38,"Decision Trees - Gradient Boosted Machines"
"824",38,"Decision Trees - Random Forests"
"825",38,"Gradient Boosting"
"826",38,"Logistic Regression"
"827",38,"Support Vector Machines (SVMs)"
"828",39,"R"
"829",39,"College/University"
"830",39,"Kaggle"
"831",39,"Personal Projects"
"832",39,"Stack Overflow Q&A"
"833",39,"YouTube Videos"
"834",39,"Outlier detection (e.g. Fraud detection)"
"835",39,"Supervised Machine Learning (Tabular Data)"
"836",39,"Unsupervised Learning"
"837",39,"Bayesian Techniques"
"838",39,"Decision Trees - Gradient Boosted Machines"
"839",39,"Decision Trees - Random Forests"
"840",39,"Logistic Regression"
"841",39,"Support Vector Machines (SVMs)"
"842",40,"Data Scientist"
"843",40,"Python"
"844",40,"Blogs"
"845",40,"Kaggle"
"846",40,"Online courses"
"847",40,"Personal Projects"
"848",40,"Recommendation Engines"
"849",40,"Reinforcement learning"
"850",40,"Supervised Machine Learning (Tabular Data)"
"851",40,"Survival Analysis"
"852",40,"Time Series"
"853",40,"Unsupervised Learning"
"854",40,"Bayesian Techniques"
"855",40,"Decision Trees - Gradient Boosted Machines"
"856",40,"Decision Trees - Random Forests"
"857",40,"Ensemble Methods"
"858",40,"Gradient Boosting"
"859",40,"Hidden Markov Models HMMs"
"860",40,"Logistic Regression"
"861",40,"Neural Networks - CNNs"
"862",40,"Support Vector Machines (SVMs)"
"863",40,"Bayesian Techniques"
"864",40,"Decision Trees"
"865",40,"Gradient Boosted Machines"
"866",40,"HMMs"
"867",40,"Random Forests"
"868",40,"Regression/Logistic Regression"
"869",40,"SVMs"
"870",40,"Amazon Web services"
"871",40,"Google Cloud Compute"
"872",40,"Jupyter notebooks"
"873",40,"Python"
"874",40,"R"
"875",40,"Spark / MLlib"
"876",40,"SQL"
"877",40,"Stan"
"878",40,"TensorFlow"
"879",40,"Unix shell / awk"
"880",40,"A/B Testing"
"881",40,"Bayesian Techniques"
"882",40,"CNNs"
"883",40,"Collaborative Filtering"
"884",40,"Cross-Validation"
"885",40,"Data Visualization"
"886",40,"kNN and Other Clustering"
"887",40,"PCA and Dimensionality Reduction"
"888",40,"Random Forests"
"889",40,"Recommender Systems"
"890",40,"Time Series Analysis"
"891",41,"Researcher"
"892",41,"Julia"
"893",41,"Conferences"
